Run Directory,Fitness,Model,ofv,success,covar,correlation #,ntheta,nomega,nsigm,condition,RPenalty,PythonPenalty,NMTran messages
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\6\68,99999999.000000,11110111001101200,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\6\69,99999999.000000,21120102111011101,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\6\70,99999999.000000,20010102110010211,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\6\71,99999999.000000,21020002100010300,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\6\72,99999999.000000,10001011010111011,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\6\73,99999999.000000,10111012001101021,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\6\74,99999999.000000,21001002101100020,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\6\75,99999999.000000,20120001111111010,99999999,False,False,False,13,3,2,99999999,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\6\76,99999999.000000,10021102000000301,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\6\77,99999999.000000,21021011000001210,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\6\65,99999999.000000,10020012111000101,9870.248098057033,True,True,True,12,5,1,2878.6826914243056,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\6\79,99999999.000000,20021011100011421,99999999,False,False,False,0,0,0,99999999,0,0,
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\6\80,99999999.000000,20100012110000320,99999999,False,False,False,13,7,2,99999999,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\6\78,99999999.000000,01010102101100421,12969.218936911522,False,False,False,10,6,1,99999999,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\6\62,99999999.000000,11020012011001420,8434.298783430018,False,True,True,13,7,2,377.14473955807216,99999999,0,No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\0\1,99999999.000000,21010012001100000,99999999,False,False,False,13,3,2,99999999,99999999,0,From NM_0_1: No important warnings
C:\Users\vnazarov.CERTARA\pydarwin\Example4\temp\0\2,99999999.000000,21011002101101021,99999999,False,False,False,15,3,1,99999999,99999999,0,From NM_0_2: No important warnings
