Model num,Fitness,Model,generation,ofv,success,covar,correlation #,ntheta,condition,RPenalty,PythonPenalty,NMTran messages
0,4867.911022,000,0,4797.911022256012,True,True,True,3,4.628067399817539,0,0,No important warnings
1,4918.223229,010,0,4738.223228693812,True,True,False,4,98.20389528312802,0,0,No important warnings
2,4872.220634,100,0,4792.220634288657,True,True,True,4,5.74030026941987,0,0,No important warnings
3,4922.127011,110,0,4732.127010995052,True,True,False,5,103.64085471004952,0,0,No important warnings
4,4818.765583,001,0,4738.765582894788,True,True,True,4,50.45274783229763,0,0,No important warnings
4,4818.765583,001,0,4738.765582894788,True,True,True,4,50.45274783229763,0,0,No important warnings
6,4822.599673,101,0,4732.599673161993,True,True,True,5,51.811893535933564,0,0,No important warnings
6,4822.599673,101,0,4732.599673161993,True,True,True,5,51.811893535933564,0,0,No important warnings
5,4928.228280,011,0,4738.228280475404,True,True,False,5,97.05689778829974,0,0,No important warnings
5,4928.228280,011,0,4738.228280475404,True,True,False,5,97.05689778829974,0,0,No important warnings
7,4932.131901,111,0,4732.131900513717,True,True,False,6,100.97810351284151,0,0,No important warnings
7,4932.131901,111,0,4732.131900513717,True,True,False,6,100.97810351284151,0,0,No important warnings
