iteration,model number,run directory,ref run,status,fitness,model,ofv,success,covariance,correlation,ntheta,nomega,nsigm,total number of parameters, condition num,r penalty,python penalty,translation messages,runtime errors
01,35,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\35,,Done,8463.722521,10101100001010001010,8313.722501033057,True,True,True,9,5,1, 15,5.871511454086655,0,0,,
01,36,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\36,,Done,99999999.000000,00010110100110110010,99999999,False,False,False,11,7,1, 19,99999999,0,0,,K21 OR K31 IS TOO CLOSE TO AN EIGENVALUE 
01,37,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\37,,Done,9878.491908,21010111100000001011,9758.49185783145,True,True,True,8,2,2, 12,49.52618140803593,0,0,,
01,38,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\38,,Done,9877.695825,21101001001011101010,9807.695774529768,True,True,True,4,2,1, 7,4.5483111899679844,0,0,,
01,39,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\39,,Done,9879.127079,20100101001110101110,9809.1270293966,True,True,True,4,2,1, 7,1.7340698593997588,0,0,,
01,40,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\40,,Done,8458.183992,01011111000011001111,8298.18399164267,True,True,True,11,3,2, 16,5.165591650155692,0,0,,
02,41,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\41,,Done,9873.318695,20000000011000001001,9743.318624929767,True,True,True,8,3,2, 13,12.846258077479696,0,0,,
02,42,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\42,,Done,9885.254280,21101010101011101010,9805.254230032371,True,True,True,5,2,1, 8,6.322143660465383,0,0,,
02,43,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\43,,Done,8329.456836,00101011100100110100,8139.456836397589,True,True,True,12,6,1, 19,6.421611233954538,0,0,,
02,44,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\44,,Done,8456.010360,11001110001010001010,8316.010340097511,True,True,True,9,4,1, 14,6.631394451232281,0,0,,
02,45,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\45,,Done,9846.553179,21101011010101010101,9736.553159142819,True,True,True,5,4,2, 11,7.981403323877109,0,0,,
02,46,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\46,,Done,9880.027568,21101101011101101110,9810.0275477544,True,True,True,4,2,1, 7,4.599145210712513,0,0,,
02,47,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\47,,Done,8761.916917,10011011111000000000,8581.916907291328,True,True,True,11,6,1, 18,9.204732226512961,0,0,,
02,48,C:\Users\xli267\pydarwin\MOGA_test1\temp\02\48,,Done,9903.634829,20100001000010001010,9803.634758655837,True,True,True,7,2,1, 10,4.757378838518962,0,0,,
