[01:14:24] Using darwin.MemoryModelCache
[01:14:24] Algorithm is EX
[01:14:24] Project dir: /home/CertaraUser/examples/user/Example1
[01:14:24] Data dir: /home/CertaraUser/examples/user/Example1
[01:14:24] Project working dir: /home/CertaraUser/pydarwin/Example1
[01:14:24] Project temp dir: /home/CertaraUser/pydarwin/Example1/temp
[01:14:24] Project output dir: /home/CertaraUser/pydarwin/Example1/output
[01:14:24] Writing intermediate output to /home/CertaraUser/pydarwin/Example1/output/results.csv
[01:14:24] Models will be saved in /home/CertaraUser/pydarwin/Example1/models.json
[01:14:24] Template file found at template.txt
[01:14:24] Tokens file found at tokens.json
[01:14:24] Search start time = Mon Mar  6 01:14:24 2023
[01:14:24] Total of 64 to be run in exhaustive search
[01:14:24] NMFE found: /home/CertaraUser/nm751/util/nmfe75
[01:14:24] Not using Post Run R code
[01:14:24] Not using Post Run Python code
[01:14:24] Checking files in /home/CertaraUser/pydarwin/Example1/temp/0/01
[01:14:24] Data set # 1 was found: /home/CertaraUser/examples/user/Example1/dataExample1.csv
[01:16:50] Iteration = 0, Model    32,           Done,    fitness = 5743.128,    message = No important warnings
[01:17:02] Iteration = 0, Model    33,           Done,    fitness = 4836.138,    message = No important warnings
[01:17:06] Iteration = 0, Model    35,           Done,    fitness = 4834.625,    message = No important warnings
[01:17:07] Iteration = 0, Model    34,           Done,    fitness = 4845.819,    message = No important warnings
[01:17:09] Iteration = 0, Model    36,           Done,    fitness = 5144.246,    message = No important warnings
[01:17:23] Iteration = 0, Model    37,           Done,    fitness = 4832.578,    message = No important warnings
[01:17:26] Iteration = 0, Model    39,           Done,    fitness = 5128.765,    message = No important warnings
[01:17:31] Iteration = 0, Model    40,           Done,    fitness = 4838.349,    message = No important warnings
[01:17:31] Iteration = 0, Model    38,           Done,    fitness = 4842.314,    message = No important warnings
[01:17:43] Iteration = 0, Model    41,           Done,    fitness = 4826.179,    message = No important warnings
[01:17:49] Iteration = 0, Model    42,           Done,    fitness = 4835.884,    message = No important warnings
[01:17:54] Iteration = 0, Model    43,           Done,    fitness = 4824.659,    message = No important warnings
[01:17:54] Iteration = 0, Model    44,           Done,    fitness = 4834.247,    message = No important warnings
[01:18:11] Iteration = 0, Model    45,           Done,    fitness = 4822.600,    message = No important warnings
[01:18:19] Iteration = 0, Model    47,           Done,    fitness = 4818.766,    message = No important warnings
[01:18:19] Iteration = 0, Model    48,           Done,    fitness = 4828.401,    message = No important warnings
[01:18:19] Iteration = 0, Model    46,           Done,    fitness = 4832.353,    message = No important warnings
[01:18:37] Iteration = 0, Model    49,           Done,    fitness = 5185.431,    message = No important warnings
[01:18:59] Iteration = 0, Model    52,           Done,    fitness = 5193.004,    message = No important warnings
[01:19:01] Iteration = 0, Model    51,           Done,    fitness = 5183.613,    message = No important warnings
[01:19:06] Iteration = 0, Model    50,           Done,    fitness = 5194.924,    message = No important warnings
[01:19:06] Iteration = 0, Model    53,           Done,    fitness = 5182.221,    message = No important warnings
[01:19:30] Iteration = 0, Model    55,           Done,    fitness = 5177.911,    message = No important warnings
[01:19:34] Iteration = 0, Model    57,           Done,    fitness = 4875.430,    message = No important warnings
[01:19:35] Iteration = 0, Model    54,           Done,    fitness = 5191.792,    message = No important warnings
