Iteration,Model number,Run Directory,Fitness,Model,ofv,success,covar,correlation #,ntheta,nomega,nsigm,condition,RPenalty,PythonPenalty,NMTran messages
1,08,/home/ppolozov/pydarwin/Example2/temp/1/08,99999999.000000,2002000121,99999999,False,False,False,10,3,1,99999999,0,0,No important warnings
1,03,/home/ppolozov/pydarwin/Example2/temp/1/03,6002.759918,0100120401,5582.759907536763,True,False,False,6,5,1,99999999,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
1,07,/home/ppolozov/pydarwin/Example2/temp/1/07,5999.534430,0101000321,5489.534419966527,False,False,False,6,4,1,99999999,0,0,No important warnings
1,09,/home/ppolozov/pydarwin/Example2/temp/1/09,5148.225283,1010021210,4708.225282750192,True,False,False,8,4,2,99999999,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
1,01,/home/ppolozov/pydarwin/Example2/temp/1/01,6105.504250,1110100211,5575.504250464039,False,False,False,8,4,1,99999999,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
1,05,/home/ppolozov/pydarwin/Example2/temp/1/05,5181.480932,0011121400,4721.480931667415,True,False,False,8,6,2,99999999,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
1,04,/home/ppolozov/pydarwin/Example2/temp/1/04,5145.647850,0001010310,4725.647849923723,True,False,False,6,4,2,99999999,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
1,10,/home/ppolozov/pydarwin/Example2/temp/1/10,6022.130967,1002001321,5482.130966610449,False,False,False,9,4,1,99999999,0,0,No important warnings
1,02,/home/ppolozov/pydarwin/Example2/temp/1/02,5171.151376,0110111320,4721.151366456956,True,False,False,8,5,2,99999999,0,0,No important warnings
1,06,/home/ppolozov/pydarwin/Example2/temp/1/06,6264.488111,1110111301,5804.4881108700565,True,False,False,10,5,1,99999999,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
2,01,/home/ppolozov/pydarwin/Example2/temp/2/01,99999999.000000,2000121021,99999999,False,False,False,12,2,1,99999999,0,0,No important warnings
2,07,/home/ppolozov/pydarwin/Example2/temp/2/07,99999999.000000,2101000301,99999999,False,False,False,10,4,1,99999999,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
2,02,/home/ppolozov/pydarwin/Example2/temp/2/02,99999999.000000,2010101211,99999999,False,False,False,10,4,1,99999999,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
2,05,/home/ppolozov/pydarwin/Example2/temp/2/05,99999999.000000,2012010411,99999999,False,False,False,10,6,1,99999999,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
2,10,/home/ppolozov/pydarwin/Example2/temp/2/10,99999999.000000,2001010310,99999999,False,False,False,10,4,2,99999999,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
2,06,/home/ppolozov/pydarwin/Example2/temp/2/06,4827.564351,1001001000,4707.564351361975,True,True,True,8,2,2,422.89537534398033,0,0,No important warnings
2,03,/home/ppolozov/pydarwin/Example2/temp/2/03,5151.651649,0101011300,4721.651639348894,True,False,False,7,4,2,99999999,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
2,04,/home/ppolozov/pydarwin/Example2/temp/2/04,4838.320447,1111000000,4708.320446875684,True,True,True,8,3,2,432.92004172403193,0,0,No important warnings
2,09,/home/ppolozov/pydarwin/Example2/temp/2/09,5958.316885,0112110011,5548.316875238082,True,False,False,7,3,1,99999999,0,0,No important warnings
2,08,/home/ppolozov/pydarwin/Example2/temp/2/08,6003.258730,1012120221,5453.258730061923,False,False,False,10,4,1,99999999,0,0,No important warnings
3,04,/home/ppolozov/pydarwin/Example2/temp/3/03,99999999.000000,0010011310,99999999,False,False,False,0,0,0,99999999,0,0,
3,05,/home/ppolozov/pydarwin/Example2/temp/3/03,99999999.000000,0010011310,99999999,False,False,False,0,0,0,99999999,0,0,
3,07,/home/ppolozov/pydarwin/Example2/temp/3/03,99999999.000000,0010011310,99999999,False,False,False,0,0,0,99999999,0,0,
3,09,/home/ppolozov/pydarwin/Example2/temp/3/03,99999999.000000,0010011310,99999999,False,False,False,0,0,0,99999999,0,0,
3,10,/home/ppolozov/pydarwin/Example2/temp/3/03,99999999.000000,0010011310,99999999,False,False,False,0,0,0,99999999,0,0,
3,06,/home/ppolozov/pydarwin/Example2/temp/3/06,5972.814432,0010001211,5572.814431566266,True,False,False,5,4,1,99999999,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
3,08,/home/ppolozov/pydarwin/Example2/temp/3/08,5149.751799,0010011210,4729.751798826133,True,False,False,6,4,2,99999999,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
3,03,/home/ppolozov/pydarwin/Example2/temp/3/03,5159.830553,0010011310,4729.830552860662,True,False,False,6,5,2,99999999,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
3,02,/home/ppolozov/pydarwin/Example2/temp/3/02,6092.510536,0010001111,5692.510535691081,True,False,False,5,4,1,99999999,0,0,No important warnings
3,01,/home/ppolozov/pydarwin/Example2/temp/3/01,4852.510913,1102110110,4702.51091334452,True,True,True,10,3,2,4840.154282606461,0,0,No important warnings
4,03,/home/ppolozov/pydarwin/Example2/temp/4/01,99999999.000000,1001010010,99999999,False,False,False,0,0,0,99999999,0,0,
4,04,/home/ppolozov/pydarwin/Example2/temp/4/01,99999999.000000,1001010010,99999999,False,False,False,0,0,0,99999999,0,0,
4,05,/home/ppolozov/pydarwin/Example2/temp/4/01,99999999.000000,1001010010,99999999,False,False,False,0,0,0,99999999,0,0,
4,06,/home/ppolozov/pydarwin/Example2/temp/4/01,99999999.000000,1001010010,99999999,False,False,False,0,0,0,99999999,0,0,
4,07,/home/ppolozov/pydarwin/Example2/temp/4/01,99999999.000000,1001010010,99999999,False,False,False,0,0,0,99999999,0,0,
4,08,/home/ppolozov/pydarwin/Example2/temp/4/01,99999999.000000,1001010010,99999999,False,False,False,0,0,0,99999999,0,0,
4,09,/home/ppolozov/pydarwin/Example2/temp/4/01,99999999.000000,1001010010,99999999,False,False,False,0,0,0,99999999,0,0,
4,10,/home/ppolozov/pydarwin/Example2/temp/4/01,99999999.000000,1001010010,99999999,False,False,False,0,0,0,99999999,0,0,
4,01,/home/ppolozov/pydarwin/Example2/temp/4/01,4826.215955,1001010010,4706.215955415484,True,True,True,8,2,2,319.12677800969504,0,0,No important warnings
4,02,/home/ppolozov/pydarwin/Example2/temp/4/02,4832.815787,1101010010,4702.815787399182,True,True,True,9,2,2,529.6746047318237,0,0,No important warnings
5,01,/home/ppolozov/pydarwin/Example2/temp/4/01,4826.215955,1001010010,4706.215955415484,True,True,True,8,2,2,319.12677800969504,0,0,From NM_4_01: No important warnings
5,03,/home/ppolozov/pydarwin/Example2/temp/4/01,4826.215955,1001010010,4706.215955415484,True,True,True,8,2,2,319.12677800969504,0,0,From NM_4_01: No important warnings
5,02,/home/ppolozov/pydarwin/Example2/temp/4/01,4826.215955,1001010010,4706.215955415484,True,True,True,8,2,2,319.12677800969504,0,0,From NM_4_01: No important warnings
5,05,/home/ppolozov/pydarwin/Example2/temp/4/01,4826.215955,1001010010,4706.215955415484,True,True,True,8,2,2,319.12677800969504,0,0,From NM_4_01: No important warnings
5,04,/home/ppolozov/pydarwin/Example2/temp/4/01,4826.215955,1001010010,4706.215955415484,True,True,True,8,2,2,319.12677800969504,0,0,From NM_4_01: No important warnings
5,06,/home/ppolozov/pydarwin/Example2/temp/4/01,4826.215955,1001010010,4706.215955415484,True,True,True,8,2,2,319.12677800969504,0,0,From NM_4_01: No important warnings
5,09,/home/ppolozov/pydarwin/Example2/temp/4/01,4826.215955,1001010010,4706.215955415484,True,True,True,8,2,2,319.12677800969504,0,0,From NM_4_01: No important warnings
5,07,/home/ppolozov/pydarwin/Example2/temp/4/01,4826.215955,1001010010,4706.215955415484,True,True,True,8,2,2,319.12677800969504,0,0,From NM_4_01: No important warnings
5,10,/home/ppolozov/pydarwin/Example2/temp/5/08,99999999.000000,1001020010,99999999,False,False,False,0,0,0,99999999,0,0,
5,08,/home/ppolozov/pydarwin/Example2/temp/5/08,4826.013181,1001020010,4706.013181129213,True,True,True,8,2,2,250.664175954472,0,0,No important warnings
5D01,09,/home/ppolozov/pydarwin/Example2/temp/5/08,4826.013181,1001020010,4706.013181129213,True,True,True,8,2,2,250.664175954472,0,0,From NM_5_08: No important warnings
5D01,01,/home/ppolozov/pydarwin/Example2/temp/5D01/01,99999999.000000,2001020010,99999999,False,False,False,10,2,2,99999999,0,0,No important warnings
5D01,16,/home/ppolozov/pydarwin/Example2/temp/5D01/16,5683.507366,1001020011,5573.507366341469,True,True,True,8,2,1,476.97836261675815,0,0,No important warnings
5D01,06,/home/ppolozov/pydarwin/Example2/temp/5D01/06,4823.929930,1000020010,4713.929930004272,True,True,True,7,2,2,459.9836456954913,0,0,No important warnings
5D01,12,/home/ppolozov/pydarwin/Example2/temp/5D01/12,5136.013181,1001020210,4706.013181078709,True,False,False,8,3,2,99999999,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
5D01,02,/home/ppolozov/pydarwin/Example2/temp/5D01/02,4825.449447,0001020010,4725.449447199858,True,True,True,6,2,2,112.86783904258445,0,0,No important warnings
5D01,03,/home/ppolozov/pydarwin/Example2/temp/5D01/03,4832.599050,1101020010,4702.599050020651,True,True,True,9,2,2,393.7566891339009,0,0,No important warnings
5D01,07,/home/ppolozov/pydarwin/Example2/temp/5D01/07,5136.013181,1001120010,4706.013180660067,True,False,False,9,2,2,99999999,0,0,No important warnings
5D01,10,/home/ppolozov/pydarwin/Example2/temp/5D01/10,4830.965471,1001021010,4700.965470779185,True,True,True,9,2,2,214.8927999532509,0,0,No important warnings
5D01,08,/home/ppolozov/pydarwin/Example2/temp/5D01/08,4822.403389,1001000010,4712.403389024515,True,True,True,7,2,2,405.94210615675104,0,0,No important warnings
5D01,04,/home/ppolozov/pydarwin/Example2/temp/5D01/04,4835.129247,1011020010,4705.129247322546,True,True,True,8,3,2,494.91946826412254,0,0,No important warnings
5D01,05,/home/ppolozov/pydarwin/Example2/temp/5D01/05,4826.123836,1002020010,4706.123836286617,True,True,True,8,2,2,126.95015469592029,0,0,No important warnings
5D01,15,/home/ppolozov/pydarwin/Example2/temp/5D01/15,4826.325349,1001020000,4706.32534872249,True,True,True,8,2,2,199.07591641638328,0,0,No important warnings
5D01,13,/home/ppolozov/pydarwin/Example2/temp/5D01/13,4835.961383,1001020110,4705.961383462418,True,True,True,8,3,2,199.71710059375667,0,0,No important warnings
5D01,14,/home/ppolozov/pydarwin/Example2/temp/5D01/14,5136.017906,1001020020,4706.017906075701,True,False,False,9,2,2,99999999,0,0,No important warnings
5D01,11,/home/ppolozov/pydarwin/Example2/temp/5D01/11,5155.961383,1001020410,4705.961383386426,True,False,False,8,5,2,99999999,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
5D02,08,/home/ppolozov/pydarwin/Example2/temp/5/08,4826.013181,1001020010,4706.013181129213,True,True,True,8,2,2,250.664175954472,0,0,From NM_5_08: No important warnings
5D02,09,/home/ppolozov/pydarwin/Example2/temp/4/01,4826.215955,1001010010,4706.215955415484,True,True,True,8,2,2,319.12677800969504,0,0,From NM_4_01: No important warnings
5D02,01,/home/ppolozov/pydarwin/Example2/temp/5D02/01,99999999.000000,2001000010,99999999,False,False,False,9,2,2,99999999,0,0,No important warnings
5D02,16,/home/ppolozov/pydarwin/Example2/temp/5D02/16,5679.368115,1001000011,5579.368115392021,True,True,True,7,2,1,1162.9368618809544,0,0,No important warnings
5D02,02,/home/ppolozov/pydarwin/Example2/temp/5D02/02,4822.127004,0001000010,4732.127003978429,True,True,True,5,2,2,102.58332172522722,0,0,No important warnings
5D02,06,/home/ppolozov/pydarwin/Example2/temp/5D02/06,4818.163468,1000000010,4718.163467524965,True,True,True,6,2,2,259.1084198967072,0,0,No important warnings
5D02,10,/home/ppolozov/pydarwin/Example2/temp/5D02/10,4827.330983,1001001010,4707.33098261923,True,True,True,8,2,2,143.40702426042114,0,0,No important warnings
5D02,12,/home/ppolozov/pydarwin/Example2/temp/5D02/12,5132.403391,1001000210,4712.403390570206,True,False,False,7,3,2,99999999,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
5D02,03,/home/ppolozov/pydarwin/Example2/temp/5D02/03,4828.807872,1101000010,4708.807872282135,True,True,True,8,2,2,312.3429865831617,0,0,No important warnings
5D02,15,/home/ppolozov/pydarwin/Example2/temp/5D02/15,4822.659304,1001000000,4712.659303967393,True,True,True,7,2,2,296.0774214543103,0,0,No important warnings
